file,low_total_power,low_mean_power,low_peak_power,low_peak_freq,whistle_low_total_power,whistle_low_mean_power,whistle_low_peak_power,whistle_low_peak_freq,whistle_high_total_power,whistle_high_mean_power,whistle_high_peak_power,whistle_high_peak_freq,ultrasonic_total_power,ultrasonic_mean_power,ultrasonic_peak_power,ultrasonic_peak_freq,spectral_centroid,filename,low_rel,whistle_low_rel,whistle_high_rel,ultrasonic_rel
../data/Buoy210_100300_100399/718586EF.210,11.032079847555794,0.05155177498857848,4.644831225664394,93.75,0.07203759381948442,0.00016870630871073636,0.0004890097755211904,5367.1875,0.04881668628963401,0.00011432479224738644,0.0023608641691683528,22054.6875,1.0788163694956288,0.0003560450064342009,0.03021481615935506,37945.3125,4531.8112610021935,718586EF.210,90.19215892375146,0.5889393659248291,0.3990981201011764,8.81980359022254
../data/Buoy210_100300_100399/718587A3.210,6.111037849853002,0.028556251634827112,1.0976852155580208,351.5625,0.09074302769210951,0.00021251294541477637,0.000490504731759369,5367.1875,0.1455202914626223,0.0003407969355096541,0.0005835108399998436,24773.4375,0.8495743489564602,0.00028038757391302317,0.0010426892448191461,40453.125,5494.974316272425,718587A3.210,84.91237391280671,1.2608669896485623,2.0219926147032505,11.804766482841464
../data/Buoy210_100300_100399/718587E0.210,11.122991917112603,0.05197659774351684,4.584700586509963,93.75,0.056979254927483576,0.00013344087805031282,0.00040496516786705383,5367.1875,0.038498127302027986,9.015954871669318e-05,0.0005032890248320281,16312.5,0.9671173322640255,0.0003191806377108995,0.03309391495789267,37945.3125,4016.230544027755,718587E0.210,91.27990513203976,0.46759550155504775,0.31593166965121056,7.936567696753989
../data/Buoy210_100300_100399/718587E4.210,4.887266935044768,0.02283769595815312,0.5521274479082173,351.5625,0.05507531529112939,0.00012898200302372223,0.0003715279150105464,5367.1875,0.03556094486558492,8.328090132455484e-05,9.881995257835516e-05,16828.125,0.12173813310972212,4.0177601686376936e-05,0.00017860886806009342,31687.5,1811.2807639831642,718587E4.210,95.83550333064763,1.079984095849504,0.6973224698796859,2.3871901036231673
../data/Buoy210_100300_100399/718587EC.210,4.691637367516532,0.02192353910054454,0.5266338932670843,140.625,0.05581546044041999,0.00013071536402908663,0.00039339411228296367,5367.1875,0.03459422747846315,8.101692617907061e-05,0.00010265653116711496,15000.0,0.12037046253721788,3.972622525980788e-05,0.00015183873338429137,31687.5,1852.1987837383208,718587EC.210,95.70048553222233,1.1385293120342423,0.7056564919580616,2.455328663785381
../data/Buoy210_100300_100399/718587EF.210,12.212204353304227,0.05706637548273003,5.033998056466648,93.75,0.06118537379667413,0.00014329127352851086,0.00046530556180673883,5367.1875,0.04823557780085988,0.00011296388243761096,0.003262542750215598,22054.6875,1.0798319781715222,0.0003563801908156839,0.03494916455909871,37992.1875,4139.79485440865,718587EF.210,91.12594321163012,0.45655761537183237,0.35992785547123934,8.057571317526822
../data/Buoy210_100300_100399/718587F5.210,4.768339842529971,0.022281961880981173,0.4680436617164451,140.625,0.06043978372837185,0.00014154516095637437,0.0004699832192471787,5367.1875,0.033571407826605774,7.862156399673483e-05,9.353972448292717e-05,15000.0,0.12057605172795999,3.979407647787458e-05,0.00017278820896356366,31687.5,1825.8953678084588,718587F5.210,95.69355040546554,1.2129373496243279,0.6737286588476936,2.419783586062435
../data/Buoy210_100300_100399/718587FA.210,5.388892578622835,0.025181741021602033,0.9408470286161293,93.75,0.05220549244254635,0.00012226110642282517,0.00037798885949357223,5367.1875,0.03322606022376011,7.781278740927426e-05,9.22787537158399e-05,15281.25,0.1186262130743026,3.915056537105697e-05,0.0001549322375693355,31687.5,1605.2582335904244,718587FA.210,96.35151837265535,0.9334159831252365,0.5940703596134232,2.1209952846059803
../data/Buoy210_100300_100399/718587FB.210,4.881702103807434,0.022811692073866515,0.44514447766497034,351.5625,0.05397186743714364,0.000126397816012046,0.00040392595596902564,5367.1875,0.035905453994204896,8.408771427214261e-05,0.00010035618089577092,17109.375,0.12193488931932757,4.0242537729151014e-05,0.0001591147593934236,31687.5,1806.8052539162197,718587FB.210,95.84153105950284,1.0596194317719512,0.7049249649025456,2.393924543822669
../data/Buoy210_100300_100399/71858803.210,4.453057209728594,0.020808678550133616,0.4789926827063079,117.1875,0.04994374628318479,0.00011696427700980045,0.00032476833835990245,5367.1875,0.03302304619615162,7.733734472166656e-05,9.390852612945497e-05,16921.875,0.11909602077333341,3.930561741694172e-05,0.00015732326907729057,31687.5,1892.7379559496246,71858803.210,95.65934256785795,1.0728777354101275,0.7093919390504304,2.5583877576815115
../data/Buoy210_100300_100399/71858815.210,4.833186798782259,0.022584985041038595,0.45900742921092685,117.1875,0.05510041111765842,0.00012904077545119067,0.00038481348956703726,5367.1875,0.034279724019739256,8.028038412116922e-05,9.835223377353582e-05,17062.5,0.12024639299904155,3.968527821750546e-05,0.00016770323919675865,31687.5,1797.5634429489312,71858815.210,95.84306389020102,1.0926522071227716,0.6797738047679258,2.384510097908294
../data/Buoy210_100300_100399/71858818.210,4.812655284475638,0.022489043385400177,0.49541752056074395,93.75,0.05177697400442445,0.00012125755036164976,0.0003542018686579147,5367.1875,0.03236401755642836,7.579395212278304e-05,9.057423318294534e-05,15046.875,0.11925143504481034,3.9356909255712986e-05,0.00017095834017391006,31687.5,1772.6964942406419,71858818.210,95.94516562997727,1.0322265055422086,0.6452095239232024,2.3773983405573214
../data/Buoy210_100300_100399/7185881F.210,11.450800995655044,0.053508415867546934,4.824775889496793,93.75,0.05261548197577492,0.0001232212692641099,0.00033534520119320654,5367.1875,0.049584505998655465,0.00011612296486804558,0.0021422705766820658,22054.6875,1.079358770836229,0.00035622401677763336,0.03494506560347652,37945.3125,4361.818044760683,7185881F.210,90.64657133127511,0.4165134859872453,0.39251974264845246,8.544395440089186
../data/Buoy210_100300_100399/71858823.210,4.203010651705863,0.019640236690214315,0.4016384366416462,117.1875,0.049025342126150465,0.00011481344760222591,0.0002970519445356925,5367.1875,0.03405109700168045,7.974495784936874e-05,9.569918586745433e-05,16476.5625,0.11972624697787884,3.9513612863986413e-05,0.0001756917524722161,31687.5,1986.2663387069517,71858823.210,95.39692968003848,1.1127421514980025,0.7728674455961878,2.717460722867312
../data/Buoy210_100300_100399/7185882A.210,7.204459361117571,0.03366569794914753,1.0832353133449113,93.75,0.04754453194188964,0.00011134550806063147,0.00029953909305676063,5367.1875,0.032830400759531905,7.688618444855247e-05,9.369726628384192e-05,15796.875,0.11884935586232892,3.92242098555541e-05,0.00015495386755761748,31687.5,1262.8358158458554,7185882A.210,97.30911937907658,0.6421740067721033,0.4434333274213442,1.6052732867299722
